Identification,OnSaleIndicator,Name,BCAMarketingState.StateTenurePeriod,BCAMarketingState.LastMarketedDate,BCAMarketingState.MarketingState,BCAMarketingState.Identification,BCAMarketingState.StateTenureLength,BCAMarketingState.FirstMarketedDate,BCAMarketingState.FeaturesAndBenefits.MobileWallet.Type,BCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Type,BCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Identification,BCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Name,BCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Textual,BCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Indicator,BCAMarketingState.FeaturesAndBenefits.Card.Type,BCAMarketingState.FeaturesAndBenefits.Card.ContactlessIndicator,BCAMarketingState.FeaturesAndBenefits.Card.Scheme.0,BCAMarketingState.Eligibility.AgeEligibility.MinimumAge,BCAMarketingState.Eligibility.AgeEligibility.Notes.0,BCAMarketingState.OtherFeesCharges.FeeChargeCap.MinMaxType,BCAMarketingState.OtherFeesCharges.FeeChargeCap.FeeCapAmount,BCAMarketingState.OtherFeesCharges.FeeChargeCap.FeeType.0,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.ApplicationFrequency,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeType,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.CalculationFrequency,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeCategory,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeAmount,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.Notes.0,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.Notes.1,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.OtherFeeType.Description,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.OtherFeeType.FeeCategory,BCAMarketingState.OtherFeesCharges.FeeChargeDetail.OtherFeeType.Name,BCAMarketingState.CoreProduct.ProductDescription,BCAMarketingState.CoreProduct.ProductURL,BCAMarketingState.CoreProduct.TcsAndCsURL,BCAMarketingState.CoreProduct.ServicingAccessChannels.0,BCAMarketingState.CoreProduct.ServicingAccessChannels.1,BCAMarketingState.CoreProduct.ServicingAccessChannels.2,BCAMarketingState.CoreProduct.ServicingAccessChannels.3,BCAMarketingState.CoreProduct.ServicingAccessChannels.4,BCAMarketingState.CoreProduct.ServicingAccessChannels.5,BCAMarketingState.CoreProduct.ServicingAccessChannels.6,BCAMarketingState.CoreProduct.SalesAccessChannels.0,BCAMarketingState.CoreProduct.SalesAccessChannels.1,BCAMarketingState.CoreProduct.SalesAccessChannels.2,BCAMarketingState.CoreProduct.SalesAccessChannels.3,BCAMarketingState.Notes.0,BCAMarketingState.Notes.1,BCAMarketingState.Notes.2,BCAMarketingState.PredecessorID,Segment.0,Segment.1,Segment.2,BCAMarketingState.OtherFeesCharges.FeeChargeCap.CappingPeriod
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,"ApplePay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,"MobileBankingApp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","17511","Cheque Book and Credit book",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","17512","Visa Debit Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","17513","Monthly Statements",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","17514","Pre-Notification of charges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","17515","Automatic Money transfers (Where requested / Agreed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","17516","Access to eBanking and Mobile Banking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","17517","Access to Bankline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","17518","International Payments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"Other","126737","CardScheme","Visa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126730","CreditInterestRateStructure","N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"Other","126731","Currency","GBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CL-MT-006",true,"Business Current Account (Type 40) NatWest","Month",,,,,,,"AccountManagement","126732","DebitCardType","Authorised",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
