Identification,OnSaleIndicator,Name,PCAMarketingState.LastMarketedDate,PCAMarketingState.MarketingState,PCAMarketingState.Identification,PCAMarketingState.FirstMarketedDate,PCAMarketingState.FeaturesAndBenefits.MobileWallet.Type,PCAMarketingState.FeaturesAndBenefits.MobileWallet.Notes.0,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Type,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Identification,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Name,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.FeatureBenefitEligibility.Type,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.FeatureBenefitEligibility.Description,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.FeatureBenefitEligibility.Name,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Textual,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Indicator,PCAMarketingState.FeaturesAndBenefits.Card.Type,PCAMarketingState.FeaturesAndBenefits.Card.Scheme,PCAMarketingState.FeaturesAndBenefits.Card.ContactlessIndicator,PCAMarketingState.Eligibility.CreditCheck.ScoringType,PCAMarketingState.Eligibility.ResidencyEligibility.ResidencyType,PCAMarketingState.Eligibility.ResidencyEligibility.ResidencyIncluded.0,PCAMarketingState.Eligibility.ResidencyEligibility.OtherResidencyType.Description,PCAMarketingState.Eligibility.ResidencyEligibility.OtherResidencyType.Name,PCAMarketingState.Eligibility.ResidencyEligibility.Notes.0,PCAMarketingState.OtherFeesCharges.FeeChargeCap.MinMaxType,PCAMarketingState.OtherFeesCharges.FeeChargeCap.FeeCapAmount,PCAMarketingState.OtherFeesCharges.FeeChargeCap.FeeType.0,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.ApplicationFrequency,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeType,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.CalculationFrequency,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeCategory,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeAmount,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.Notes.0,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.Notes.1,PCAMarketingState.OtherFeesCharges.FeeChargeDetail.FeeRate,PCAMarketingState.CoreProduct.ProductDescription,PCAMarketingState.CoreProduct.ProductURL,PCAMarketingState.CoreProduct.TcsAndCsURL,PCAMarketingState.CoreProduct.MonthlyMaximumCharge,PCAMarketingState.CoreProduct.ServicingAccessChannels.0,PCAMarketingState.CoreProduct.ServicingAccessChannels.1,PCAMarketingState.CoreProduct.ServicingAccessChannels.2,PCAMarketingState.CoreProduct.ServicingAccessChannels.3,PCAMarketingState.CoreProduct.ServicingAccessChannels.4,PCAMarketingState.CoreProduct.ServicingAccessChannels.5,PCAMarketingState.CoreProduct.ServicingAccessChannels.6,PCAMarketingState.CoreProduct.SalesAccessChannels.0,PCAMarketingState.CoreProduct.SalesAccessChannels.1,Segment.0,PCAMarketingState.Eligibility.OtherEligibility.Type,PCAMarketingState.Eligibility.OtherEligibility.Textual,PCAMarketingState.Eligibility.OtherEligibility.Indicator,PCAMarketingState.Eligibility.OtherEligibility.Name,PCAMarketingState.Eligibility.OtherEligibility.Notes.0,PCAMarketingState.CoreProduct.ServicingAccessChannels.7,PCAMarketingState.CoreProduct.SalesAccessChannels.2,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.FeatureBenefitEligibility.OtherType.Description,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitItem.FeatureBenefitEligibility.OtherType.Name,PCAMarketingState.Eligibility.OtherEligibility.Amount,PCAMarketingState.Eligibility.OtherEligibility.Period,PCAMarketingState.Eligibility.OtherEligibility.OtherType.Description,PCAMarketingState.Eligibility.OtherEligibility.OtherType.Name,PCAMarketingState.Eligibility.AgeEligibility.MinimumAge,PCAMarketingState.Eligibility.AgeEligibility.Notes.0,PCAMarketingState.CoreProduct.SalesAccessChannels.3,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitGroup.Type,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitGroup.Name,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitGroup.FeatureBenefitItem.Type,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitGroup.FeatureBenefitItem.Textual,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitGroup.FeatureBenefitItem.Identification,PCAMarketingState.FeaturesAndBenefits.FeatureBenefitGroup.FeatureBenefitItem.Name,PCAMarketingState.Notes.0,PCAMarketingState.Notes.1,PCAMarketingState.PredecessorID,PCAMarketingState.StateTenurePeriod,PCAMarketingState.StateTenureLength,PCAMarketingState.CreditInterest.TierBandSet.Destination,PCAMarketingState.CreditInterest.TierBandSet.TierBandMethod,PCAMarketingState.CreditInterest.TierBandSet.TierBand.TierValueMinimum,PCAMarketingState.CreditInterest.TierBandSet.TierBand.FixedVariableInterestRateType,PCAMarketingState.CreditInterest.TierBandSet.TierBand.ApplicationFrequency,PCAMarketingState.CreditInterest.TierBandSet.TierBand.CalculationFrequency,PCAMarketingState.CreditInterest.TierBandSet.TierBand.AER
"QC",true,"Reward Silver",,,,,"ApplePay","Google Pay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,"MobileBankingApp","Google Pay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,"Other","Google Pay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,"PayM","Google Pay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"TechnologyInsurance","11012","Mobile Phone Insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"TravelInsurance","11013","European Travel Insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"PreferentialRates","11014","Preferential rates on Travel Money",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"Lifestyle","11015","Ticket Booking Service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"Lifestyle","11016","Tastecard Membership",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"Rewards","11017","Rewards on Household Bills (Direct Debits)","Other","To keep earning Rewards on eligible household bills, you must log into digital/online or mobile banking at least once every three months.","Online or Moblie App Use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"Rewards","11018","Rewards on Household Bills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"Lifestyle","11019","Cinema Ticket Discounts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"Travel","11020","Fee free debit card purchases when abroad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"TechnologyInsurance","11021","Mobile Phone Insurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"Cashback","11022","Earn Rewards on Direct Debits and mobile app login",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"Other","90211","CardScheme",,,,"Visa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"Cashback","90214","Cashback",,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"AccountManagement","90215","OverdraftAvailable",,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"AccountManagement","90216","PackagedAccountBenefits",,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"AccountManagement","90204","RegularFee",,,,"Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"AccountManagement","90217","SetOffArrangement",,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QC",true,"Reward Silver",,,,,,,"Rewards","90218","Rewards",,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
