Identification,Name,SMELoanMarketingState.LastMarketedDate,SMELoanMarketingState.MarketingState,SMELoanMarketingState.Identification,SMELoanMarketingState.FirstMarketedDate,SMELoanMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Type,SMELoanMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Identification,SMELoanMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Indicator,SMELoanMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Name,SMELoanMarketingState.FeaturesAndBenefits.FeatureBenefitItem.Textual,SMELoanMarketingState.Eligibility.AgeEligibility.MinimumAge,SMELoanMarketingState.Eligibility.LegalStructureEligibility.LegalStructure,SMELoanMarketingState.Eligibility.CreditCheckEligibility.ScoringType,SMELoanMarketingState.Eligibility.ResidencyEligibility.ResidencyType,SMELoanMarketingState.Eligibility.ResidencyEligibility.ResidencyIncluded.0,SMELoanMarketingState.LoanInterest.LoanInterestTierBandSet.TierBandMethod,SMELoanMarketingState.LoanInterest.LoanInterestTierBandSet.CalculationMethod,SMELoanMarketingState.LoanInterest.LoanInterestTierBandSet.LoanInterestTierBand.FixedVariableInterestRateType,SMELoanMarketingState.LoanInterest.LoanInterestTierBandSet.LoanInterestTierBand.TierValueMinimum,SMELoanMarketingState.LoanInterest.LoanInterestTierBandSet.LoanInterestTierBand.TierValueMaximum,SMELoanMarketingState.LoanInterest.LoanInterestTierBandSet.LoanInterestTierBand.MinTermPeriod,SMELoanMarketingState.LoanInterest.LoanInterestTierBandSet.LoanInterestTierBand.RepAPR,SMELoanMarketingState.LoanInterest.LoanInterestTierBandSet.LoanInterestTierBand.TierValueMaxTerm,SMELoanMarketingState.LoanInterest.LoanInterestTierBandSet.LoanInterestTierBand.TierValueMinTerm,SMELoanMarketingState.LoanInterest.LoanInterestTierBandSet.LoanInterestTierBand.MaxTermPeriod,SMELoanMarketingState.CoreProduct.EarlyPaymentFeeApplicable,SMELoanMarketingState.CoreProduct.LoanApplicationFeeChargeType,SMELoanMarketingState.CoreProduct.OverPaymentFeeApplicable,SMELoanMarketingState.CoreProduct.OverpaymentAllowedIndicator,SMELoanMarketingState.CoreProduct.ProductDescription,SMELoanMarketingState.CoreProduct.FullEarlyRepaymentAllowedIndicator,SMELoanMarketingState.CoreProduct.ProductURL,SMELoanMarketingState.CoreProduct.TcsAndCsURL,SMELoanMarketingState.CoreProduct.ServicingAccessChannels.0,SMELoanMarketingState.CoreProduct.ServicingAccessChannels.1,SMELoanMarketingState.CoreProduct.ServicingAccessChannels.2,SMELoanMarketingState.CoreProduct.ServicingAccessChannels.3,SMELoanMarketingState.CoreProduct.ServicingAccessChannels.4,SMELoanMarketingState.CoreProduct.ServicingAccessChannels.5,SMELoanMarketingState.CoreProduct.ServicingAccessChannels.6,SMELoanMarketingState.CoreProduct.SalesAccessChannels.0,SMELoanMarketingState.CoreProduct.SalesAccessChannels.1,SMELoanMarketingState.CoreProduct.SalesAccessChannels.2,SMELoanMarketingState.CoreProduct.SalesAccessChannels.3,SMELoanMarketingState.CoreProduct.SalesAccessChannels.4,SMELoanMarketingState.Repayment.RepaymentFrequency,SMELoanMarketingState.Repayment.RepaymentType,SMELoanMarketingState.Repayment.AmountType,SMELoanMarketingState.Repayment.RepaymentHoliday.MaxHolidayLength,Segment.0
"TF-BL-001","Small Business Loan",,,,,"Other","17431",false,"No early repayment charges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,"Other","17432",,"Fixed repayments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,"Other","17433",,"Certainty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,"Other","17434",,"No arrangement fees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,"PaymentHolidays","125895",false,"CapitalRepaymentHolidays",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,"EarlySettlement","125896",false,"EarlyRepaymentCharge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,"Other","125897",false,"TrancheDrawdown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,"Other","125898",,"InterestRateType","Fixed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,"Other","125899",,"ReferenceRate","Base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,"Other","125889",,"Currency","GBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,"Other","125890",,"RepaymentType","Capital & Interest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,"Other","125900",,"Term","1 to 10 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,"Other","125901",,"InterestCalculationFrequency","Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,,,,,,18.0,"SoleTrader","Hard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,,,,,,18.0,"Ltd","Hard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,,,,,,18.0,"Partnership","Hard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,,,,,,18.0,"LLP","Hard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan",,,,,,,,,,18.0,,"Hard","Owner","GB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TF-BL-001","Small Business Loan","9999-12-31",,,,,,,,,18.0,,"Hard",,,"Tiered","Compound","Fixed","5000","5000","Month","11.46",12.0,12.0,"Month",,,,,,,,,,,,,,,,,,,,,,,,,
